SKU,Product,Variant,Spreadsheet On Hand,DB On Hand,Drop Shipping File,Old dropShipEnabled,New dropShipEnabled,Match Status,Notes
MI-BF-BN-P,Bird Flute,Colour: Brown · Type: Pair,30,30,N,false,false,ALREADY_CORRECT,
MI-BF-BN-S,Bird Flute,Colour: Brown · Type: Single,60,60,N,false,false,ALREADY_CORRECT,
MI-BT,Box Tanpura,Default,0,0,Y,true,true,ALREADY_CORRECT,
MI-TF-UW-CG,C&G Tuning Forks,Type: Unweighted,0,0,Y,true,true,ALREADY_CORRECT,
MI-TF-W-CG,C&G Tuning Forks,Type: Weighted,0,0,Y,true,true,ALREADY_CORRECT,
MI-OC-B,Ceramic Ocarina,Size: Big,8,8,N,false,false,ALREADY_CORRECT,
MI-OC-S,Ceramic Ocarina,Size: Small,15,15,N,false,false,ALREADY_CORRECT,
MI-GO-CH-18,Chau Gongs,Size: 18 In,0,0,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-20,Chau Gongs,Size: 20 In,0,0,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-22,Chau Gongs,Size: 22 In,0,0,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-24,Chau Gongs,Size: 24 In,0,0,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-28,Chau Gongs,Size: 28 in,0,0,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-32,Chau Gongs,Size: 32 in,1,1,Y,true,true,ALREADY_CORRECT,
MI-MO-CL-B,Classic Morchang,Type: Bass,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-CL-SET3,Classic Morchang,Type: Full Set,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-CL-M,Classic Morchang,Type: Middle,0,0,N,false,false,ALREADY_CORRECT,
MI-MO-CL-S,Classic Morchang,Type: Sharp,0,0,N,false,false,ALREADY_CORRECT,
MI-CMS-DP,Coconut Maracas Shakers,Type: Painted,11,11,N,false,false,ALREADY_CORRECT,
MI-CMS,Coconut Maracas Shakers,Type: Plain,93,93,N,false,false,ALREADY_CORRECT,
MI-CR,Coconut Rattle,Default,35,35,N,false,false,ALREADY_CORRECT,
ME-CC,Conscious Cards,Default,0,2,Y,true,true,ALREADY_CORRECT,
CB-AD-BM-B,Copper Bottle - Blue Tranquillity/Meditation,Size: 1L · Cleaning Brush: With Brush,56,56,N,false,false,ALREADY_CORRECT,
CB-AD-BM,Copper Bottle - Blue Tranquillity/Meditation,Size: 1L · Cleaning Brush: Without Brush,56,56,N,false,false,ALREADY_CORRECT,
CB-AD-BM-.5-B,Copper Bottle - Blue Tranquillity/Meditation,Size: 500ml · Cleaning Brush: With Brush,30,30,N,false,false,ALREADY_CORRECT,
CB-AD-BM-.5,Copper Bottle - Blue Tranquillity/Meditation,Size: 500ml · Cleaning Brush: Without Brush,30,30,N,false,false,ALREADY_CORRECT,
CB-AD-HI-B,Copper Bottle - Happiness is Inside,Size: 1L · Cleaning Brush: With Brush,27,27,N,false,false,ALREADY_CORRECT,
CB-AD-HI,Copper Bottle - Happiness is Inside,Size: 1L · Cleaning Brush: Without Brush,27,27,N,false,false,ALREADY_CORRECT,
CB-AD-HI-.5-B,Copper Bottle - Happiness is Inside,Size: 500ml · Cleaning Brush: With Brush,13,13,N,false,false,ALREADY_CORRECT,
CB-AD-HI-.5,Copper Bottle - Happiness is Inside,Size: 500ml · Cleaning Brush: Without Brush,13,13,N,false,false,ALREADY_CORRECT,
CB-AD-PP-B,Copper Bottle - Pink & Positive,Size: 1L · Cleaning Brush: With Brush,61,61,N,false,false,ALREADY_CORRECT,
CB-AD-PP,Copper Bottle - Pink & Positive,Size: 1L · Cleaning Brush: Without Brush,61,61,N,false,false,ALREADY_CORRECT,
CB-AD-PP-.5-B,Copper Bottle - Pink & Positive,Size: 500ml · Cleaning Brush: With Brush,2,2,N,false,false,ALREADY_CORRECT,
CB-AD-PP-.5,Copper Bottle - Pink & Positive,Size: 500ml · Cleaning Brush: Without Brush,2,2,N,false,false,ALREADY_CORRECT,
CB-AD-SS-B,Copper Bottle - Sunshine within Me,Size: 1L · Cleaning Brush: With Brush,0,0,N,false,false,ALREADY_CORRECT,
CB-AD-SS,Copper Bottle - Sunshine within Me,Size: 1L · Cleaning Brush: Without Brush,0,0,N,false,false,ALREADY_CORRECT,
CB-AD-SS-.5-B,Copper Bottle - Sunshine within Me,Size: 500ml · Cleaning Brush: With Brush,10,10,N,false,false,ALREADY_CORRECT,
CB-AD-SS-.5,Copper Bottle - Sunshine within Me,Size: 500ml · Cleaning Brush: Without Brush,10,10,N,false,false,ALREADY_CORRECT,
CB-AD-TM-B,Copper Bottle - Tattvamasi-I am Infinite,Size: 1L · Cleaning Brush: With Brush,21,21,N,false,false,ALREADY_CORRECT,
CB-AD-TM,Copper Bottle - Tattvamasi-I am Infinite,Size: 1L · Cleaning Brush: Without Brush,21,21,N,false,false,ALREADY_CORRECT,
CB-AD-TM-B-.5,Copper Bottle - Tattvamasi-I am Infinite,Size: 500ml · Cleaning Brush: With Brush,22,22,N,false,false,ALREADY_CORRECT,
CB-AD-TM-.5,Copper Bottle - Tattvamasi-I am Infinite,Size: 500ml · Cleaning Brush: Without Brush,22,22,N,false,false,ALREADY_CORRECT,
CB-7C-C-2G-SET,Copper Bottle Gift Set - 7 Chakra,Colour: Gold,153,153,N,false,false,ALREADY_CORRECT,
CB-7C-V-2G-SET,Copper Bottle Gift Set - 7 Chakra,Colour: Vintage,19,19,N,false,false,ALREADY_CORRECT,
TC-S-2,Copper Tongue Cleaner,Packs: Pack of 2 · Type: Straight,100,100,N,false,false,ALREADY_CORRECT,
TC-S-4,Copper Tongue Cleaner,Packs: Pack of 4 · Type: Straight,50,50,N,false,false,ALREADY_CORRECT,
TC-S-1,Copper Tongue Cleaner,Packs: pack-of-1 · Type: Straight,200,200,N,false,false,ALREADY_CORRECT,
ME-CZ-C-DG,Crescent Zafu Cushion - Compact -Buck wheat,Colour: Dark Grey,7,7,N,false,false,ALREADY_CORRECT,
ME-CZ-C-LV,Crescent Zafu Cushion - Compact -Buck wheat,Colour: Lavender,7,7,N,false,false,ALREADY_CORRECT,
ME-CZ-C-MB,Crescent Zafu Cushion - Compact -Buck wheat,Colour: Misty Blue,9,9,N,false,false,ALREADY_CORRECT,
ME-CZ-C-S,Crescent Zafu Cushion - Compact -Buck wheat,Colour: Sage,8,8,N,false,false,ALREADY_CORRECT,
ME-CZ-W-LV,Crescent Zafu Cushion - Wide -Cotton,Colour: Lavender,8,8,N,false,false,ALREADY_CORRECT,
ME-CZ-W-MB,Crescent Zafu Cushion - Wide -Cotton,Colour: Misty Blue,10,10,N,false,false,ALREADY_CORRECT,
ME-CZ-W-RP,Crescent Zafu Cushion - Wide -Cotton,Colour: Rouge Pink,0,0,N,false,false,ALREADY_CORRECT,
MI-BG-CB-L,Crystal Bowl Bag,Size: Large,0,0,Y,true,true,ALREADY_CORRECT,
MI-BG-CB-M,Crystal Bowl Bag,Size: Medium,0,0,Y,true,true,ALREADY_CORRECT,
MI-BG-CB-S,Crystal Bowl Bag,Size: Small,0,0,Y,true,true,ALREADY_CORRECT,
MI-CB-MA-B,Crystal Bowl Mallets,Type: Ball Mallet,100,100,N,false,false,ALREADY_CORRECT,
MI-CB-MA-R,Crystal Bowl Mallets,Type: Rimming Mallet,100,100,N,false,false,ALREADY_CORRECT,
MI-CB-MA-S,Crystal Bowl Mallets,Type: Silicon Mallet,100,100,Y,true,true,ALREADY_CORRECT,
MI-CB-H,Crystal Bowl with Handle,Default,0,0,Y,true,true,ALREADY_CORRECT,
MI-CB-W-10,Crystal Bowls - Frosted white,Size: 10 Inches,2,0,N,false,false,ALREADY_CORRECT,
MI-CB-W-11,Crystal Bowls - Frosted white,Size: 11 Inches,2,0,N,false,false,ALREADY_CORRECT,
MI-CB-W-12,Crystal Bowls - Frosted white,Size: 12 Inches,2,0,N,false,false,ALREADY_CORRECT,
MI-CB-W-13,Crystal Bowls - Frosted white,Size: 13 Inches,1,1,N,false,false,ALREADY_CORRECT,
MI-CB-W-14,Crystal Bowls - Frosted white,Size: 14 in,1,1,N,false,false,ALREADY_CORRECT,
MI-CB-W-6,Crystal Bowls - Frosted white,Size: 6 Inches,1,1,N,false,false,ALREADY_CORRECT,
MI-CB-W-7,Crystal Bowls - Frosted white,Size: 7 Inches,2,0,N,false,false,ALREADY_CORRECT,
MI-CB-W-8,Crystal Bowls - Frosted white,Size: 8 Inches,1,0,N,false,false,ALREADY_CORRECT,
MI-CB-W-9,Crystal Bowls - Frosted white,Size: 9 Inches,1,0,N,false,false,ALREADY_CORRECT,
MI-CB-CL-6-12,Crystal Bowls - Set of 7,Colour: Chakra Coloured · Dumroo Size: 6-12 in Set,0,1,Y,true,true,ALREADY_CORRECT,
MI-CB-CL-8-14,Crystal Bowls - Set of 7,Colour: Chakra Coloured · Dumroo Size: 8-14 in Set,0,0,Y,true,true,ALREADY_CORRECT,
MI-CB-W-6-12,Crystal Bowls - Set of 7,Dumroo Size: 6-12 in Set · Colour: Frosted White,0,0,Y,true,true,ALREADY_CORRECT,
MI-CB-W-8-14,Crystal Bowls - Set of 7,Dumroo Size: 8-14 in Set · Colour: Frosted White,0,0,Y,true,true,ALREADY_CORRECT,
MI-CP-6,Crystal Pyramid,Size: 6 Inches,0,0,Y,true,true,ALREADY_CORRECT,
MI-CP-8,Crystal Pyramid,Size: 8 Inches,0,0,Y,true,true,ALREADY_CORRECT,
CB-C-B,Curved Copper Bottles,Bottle Type: gold · Coconut Fiber Brush: With Brush,70,70,N,false,false,ALREADY_CORRECT,
CB-C,Curved Copper Bottles,Bottle Type: gold · Coconut Fiber Brush: Without Brush,70,70,N,false,false,ALREADY_CORRECT,
CB-C-V-B,Curved Copper Bottles,Bottle Type: Vintage · Coconut Fiber Brush: With Brush,38,38,N,false,false,ALREADY_CORRECT,
CB-CDG-V,Curved Copper Bottles,Bottle Type: Vintage · Coconut Fiber Brush: Without Brush,66,66,N,false,false,ALREADY_CORRECT,
CB-CVH,Curved Hammered Copper Bottles,Bottle Type: Vintage · Coconut Fiber Brush: Without Brush,0,0,N,false,false,ALREADY_CORRECT,
CB-CVH-B,Curved Hammered Copper Bottles,Coconut Fiber Brush: With Brush · Bottle Type: Vintage,0,0,N,false,false,ALREADY_CORRECT,
MI-DJB-I-10,Djembe Drums,Size: 10in · Color: Ivory,2,2,N,false,false,ALREADY_CORRECT,
MI-DJB-M-10,Djembe Drums,Size: 10in · Color: Mahogany,3,3,N,false,false,ALREADY_CORRECT,
MI-DJB-I-12,Djembe Drums,Size: 12in · Color: Ivory,3,3,N,false,false,ALREADY_CORRECT,
MI-DJB-M-12,Djembe Drums,Size: 12in · Color: Mahogany,2,2,N,false,false,ALREADY_CORRECT,
MI-DJB-I-14,Djembe Drums,Size: 14in · Color: Ivory,2,2,N,false,false,ALREADY_CORRECT,
MI-DJB-M-14,Djembe Drums,Size: 14in · Color: Mahogany,1,1,N,false,false,ALREADY_CORRECT,
MI-DJB-I-8,Djembe Drums,Size: 8in · Color: Ivory,2,2,N,false,false,ALREADY_CORRECT,
MI-DJB-M-8,Djembe Drums,Size: 8in · Color: Mahogany,2,2,N,false,false,ALREADY_CORRECT,
MI-TF-DNA-OM,DNA Tuning Fork,Fork: Cosmic OM Resonance,0,0,Y,true,true,ALREADY_CORRECT,
MI-TF-DNA-DH,DNA Tuning Fork,Fork: Deep Healing,0,0,Y,true,true,ALREADY_CORRECT,
MI-TF-DNA,DNA Tuning Fork,Fork: Harmonic Balance,0,0,Y,true,true,ALREADY_CORRECT,
MI-TF-DNA-LF,DNA Tuning Fork,Fork: Love Frequency,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-DT-4,Dotted Singing Bowl,Size: 4 in,14,14,N,false,false,ALREADY_CORRECT,
MI-SB-DT-5.5,Dotted Singing Bowl,Size: 5.5 in,20,0,N,false,false,ALREADY_CORRECT,
MI-SB-DT-7,Dotted Singing Bowl,Size: 7 Inches,0,1,N,false,false,ALREADY_CORRECT,
MI-SB-DT-DP-5.5,Dotted Singing Bowl,Size: Deep 5.5 Inch,10,100,N,false,false,ALREADY_CORRECT,
MI-DM-DP,Dumru/Dumroo,Type: Dot Painted,0,1,N,false,false,ALREADY_CORRECT,
MI-DM,Dumru/Dumroo,Type: Plain,0,0,N,false,false,ALREADY_CORRECT,
MI-ES-H,Egg Shaker with Handle,Default,58,58,N,false,false,ALREADY_CORRECT,
MI-EC-A,Elemental Chimes,Type: Air,2,10,N,false,false,ALREADY_CORRECT,
MI-EC-E,Elemental Chimes,Type: Earth,2,8,N,false,false,ALREADY_CORRECT,
MI-EC-F,Elemental Chimes,Type: Fire,2,10,N,false,false,ALREADY_CORRECT,
MI-EC-S,Elemental Chimes,Type: Set of 4,1,10,N,false,false,ALREADY_CORRECT,
MI-EC-W,Elemental Chimes,Type: Water,2,10,N,false,false,ALREADY_CORRECT,
MI-GO-CH-ET-BO-18,Etched Chau Gongs,Size: 18 In · Type: Buddhist Om,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-CH-18,Etched Chau Gongs,Size: 18 In · Type: Chakra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-BO-20,Etched Chau Gongs,Size: 20 In · Type: Buddhist Om,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-CH-20,Etched Chau Gongs,Size: 20 In · Type: Chakra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-MN-20,Etched Chau Gongs,Size: 20 In · Type: Mantra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-BO-22,Etched Chau Gongs,Size: 22 In · Type: Buddhist Om,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-CH-22,Etched Chau Gongs,Size: 22 In · Type: Chakra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-MN-22,Etched Chau Gongs,Size: 22 In · Type: Mantra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-BO-24,Etched Chau Gongs,Size: 24 In · Type: Buddhist Om,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-CH-24,Etched Chau Gongs,Size: 24 In · Type: Chakra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-MN-24,Etched Chau Gongs,Size: 24 In · Type: Mantra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-BO-28,Etched Chau Gongs,Size: 28 in · Type: Buddhist Om,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-CH-28,Etched Chau Gongs,Size: 28 in · Type: Chakra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-MN-28,Etched Chau Gongs,Size: 28 in · Type: Mantra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-BO-32,Etched Chau Gongs,Size: 32 in · Type: Buddhist Om,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-CH-32,Etched Chau Gongs,Size: 32 in · Type: Chakra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-MN-32,Etched Chau Gongs,Size: 32 in · Type: Mantra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-BO-40,Etched Chau Gongs,Size: 40 in · Type: Buddhist Om,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-CH-40,Etched Chau Gongs,Size: 40 in · Type: Chakra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-MN-40,Etched Chau Gongs,Size: 40 in · Type: Mantra,100,100,Y,true,true,ALREADY_CORRECT,
MI-GO-CH-ET-MN-18,Etched Chau Gongs,Type: Mantra · Size: 18 In,100,100,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-B-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Buddha,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-C-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Chakras,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-DJ-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Dorje,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-FL-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Flower of Life,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-GF-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Golden Feet,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-M-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Mantra,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-SG-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Sacred Geometry,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-T-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Tara,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-YY-10,Etched Handmade Singing Bowls,Size: 10 Inches · Type: Yin Yang,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-B-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Buddha,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-C-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Chakras,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-DJ-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Dorje,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-FL-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Flower of Life,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-GF-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Golden Feet,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-M-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Mantra,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-SG-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Sacred Geometry,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-T-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Tara,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-YY-11,Etched Handmade Singing Bowls,Size: 11 Inches · Type: Yin Yang,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-B-12,Etched Handmade Singing Bowls,Size: 12 Inches · Type: Buddha,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-C-12,Etched Handmade Singing Bowls,Size: 12 Inches · Type: Chakras,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-DJ-12,Etched Handmade Singing Bowls,Size: 12 Inches · Type: Dorje,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-FL-12,Etched Handmade Singing Bowls,Size: 12 Inches · Type: Flower of Life,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-GF-12,Etched Handmade Singing Bowls,Size: 12 Inches · Type: Golden Feet,0,0,Y,true,true,ALREADY_CORRECT,
MI-SB-HM-ET-M-12,Etched Handmade Singing Bowls,Size: 12 Inches · Type: Mantra,0,0,Y,true,true,ALREADY_CORRECT,
