test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
BASE-015,BASE,BASE-015,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
BASE-016,BASE,BASE-016,OPS,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Confirm RDS/Lightsail snapshot before destructive UAT — operator action,,,,Confirm RDS/Lightsail snapshot before destructive UAT — operator action
ACC-001,ACC,ACC-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-002,ACC,ACC-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-003,ACC,ACC-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-004,ACC,ACC-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-005,ACC,ACC-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-006,ACC,ACC-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-007,ACC,ACC-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-008,ACC,ACC-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-009,ACC,ACC-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-010,ACC,ACC-010,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-011,ACC,ACC-011,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-012,ACC,ACC-012,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-013,ACC,ACC-013,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-014,ACC,ACC-014,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-015,ACC,ACC-015,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-016,ACC,ACC-016,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-017,ACC,ACC-017,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-018,ACC,ACC-018,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-019,ACC,ACC-019,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-020,ACC,ACC-020,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-021,ACC,ACC-021,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-022,ACC,ACC-022,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-023,ACC,ACC-023,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-024,ACC,ACC-024,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-025,ACC,ACC-025,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-026,ACC,ACC-026,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-027,ACC,ACC-027,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-028,ACC,ACC-028,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-029,ACC,ACC-029,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-030,ACC,ACC-030,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-031,ACC,ACC-031,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-032,ACC,ACC-032,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-033,ACC,ACC-033,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
ACC-034,ACC,ACC-034,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Native accounting suite SERIAL; Zoho retired,,,YES,Native accounting suite SERIAL; Zoho retired
