test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
DS-006,DS,DS-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-007,DS,DS-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-008,DS,DS-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-009,DS,DS-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-010,DS,DS-010,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-011,DS,DS-011,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-012,DS,DS-012,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-013,DS,DS-013,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-014,DS,DS-014,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-015,DS,DS-015,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-016,DS,DS-016,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-017,DS,DS-017,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-018,DS,DS-018,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-019,DS,DS-019,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-020,DS,DS-020,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-021,DS,DS-021,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-022,DS,DS-022,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
DS-023,DS,DS-023,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,drop-shipping-v1 + merchant availability tests,,,YES,drop-shipping-v1 + merchant availability tests
