excel_sku,current_db_sku,excel_name,product_name,attrs,match_score,slug,variant_id
"MI-CBH-5.5""",woo-48931,"Crystal singing bowl with Handle - 5.5""",Singing Bowl with Handle,,86.7,singing-bowl-with-handle,5875aa8d-985e-4d06-b50f-5990005efbb3
MI-XP-W-8,woo-var-8774,Wooden Xylophone - 8 Keys,Teak Wood - Stainless Steel Xylophone,8 Keys,76.5,teak-wood-stainless-steel-xylophone,eb269d3e-0b0b-445a-b2a8-9f5be4c8a5f0
MI-SB-C-SB-20,woo-var-46651,Silk RIng Cushions for Singing Bowl-Sky Blue-20cms,Thunder Tube - Basic Edition,20cms,72.5,thunder-tube-basic-edition,3b18cba4-825d-4113-ae06-e00fbf863feb
Co-CB-CEG-BG,woo-var-47894,⁠CEG Crystal with bag,Triad Crystal Bowl Set,CEG,73.8,triad-crystal-bowl-set,a526ffde-0cbc-4285-a22a-726c9f8ddd21
MI-SB-M-R-Wd-4.5,woo-var-48182,Mallet Red Wide-4.5cm,Tuning Fork Activators,Mallet,77.1,tuning-fork-activators,eb13104d-e29d-4681-aef0-1908d90d5b5b
NP-G-185,woo-var-48142,Sarveda Ayurvedic Ceramic Jala Neti Pot for Nasal Cleansing | Green,Tuning Forks Gem Feet,Green,71.9,tuning-forks-gem-feet,26c8c7ac-6a5d-4108-a251-c76d263219e1
NP-Y-185,woo-var-48139,Sarveda Ayurvedic Ceramic Jala Neti Pot for Nasal Cleansing | Yellow,Tuning Forks Gem Feet,Yellow,72.3,tuning-forks-gem-feet,9a2e491c-1f06-43e7-b153-4ed1434ac724
Yo-M-C-MG-B-27,woo-var-48141,"Yoga Mat- Chakras- Moderate Grip - Blue -27""",Tuning Forks Gem Feet,Blue,72.6,tuning-forks-gem-feet,0cbcffb0-7c99-4f21-b958-4af33d2f97ba
MI-SB-P-Bk-3.5,woo-var-48144,Sacred Mantra Bowls | 3.5 Inches | Black,Tuning Forks Gem Feet,Red,72.1,tuning-forks-gem-feet,aa9419bf-10f3-4d8d-809c-61d9cb6976e8
Co-SB-R-H-TE,woo-var-48230,"The Three Singing Bowl Set - Root, Heart and Third Eye",Wooden Stand for Tuning Forks,Three,72.5,wooden-stand-for-tuning-forks,ce80cc90-c26e-46bd-b69d-b769e953887d
MI-T-C,woo-var-45649,Circular Tambourine,Wooden Tambourines,Circular,80.5,wooden-tambourines,ae5f8471-ecb3-4a74-aa0d-7a1f08b8a875
MI-T-HM,woo-var-45648,Half-moon Tambourine,Wooden Tambourines,Half-Moon,81.2,wooden-tambourines,d59d3984-8b4d-4ec2-929b-b13775872062
Yo-BT-C-W,Yo-BT-C-NT,Sarveda Yoga Blanket | Organic Cotton | Natural White,Yoga Blanket made from Organic Cotton,Natural White,76.6,yoga-blanket-made-from-organic-cotton,65f0286b-6fac-4fe4-acfa-cfa81b262994
Yo-M-C-MG-O-27,Me-Z-R-C-O,"Yoga Mat- Chakras- Moderate Grip - Orange -27""",Zafu Meditation Cushion Plain Filled with Cotton,Orange,73.8,zafu-meditation-cushion-plain-filled-with-cotton,0259fbec-59d9-4959-9741-0cb15ed53b16
