excel_sku,excel_name
MI-SB-H-LM-9,"Singing Bowls Handmade Lingam -9"""
MI-SB-H-LM-8,"Singing Bowls Handmade Lingam -8"""
MI-SB-H-LM-7,"Singing Bowls Handmade Lingam -7"""
MI-SB-H-lM-6,"Singing Bowls Handmade Lingam -6"""
MI-SB-7C Set-S-P,Singing Bowls - 7 Chakras set Standard - Polished
MI-SB-HD,Sing Bowl - Head
MI-G-ET-FOL1-26,"Gong-Etched Flower of Life 1- 26"""
MI-G-ET-FOL1-28,"Gong-Etched Flower of Life 1- 28"""
MI-G-ET-FOL2-14,"Gong-Etched Flower of Life 2- 14"""
MI-G-ET-FOL2-16,"Gong-Etched Flower of Life 2- 16"""
MI-G-ET-FOL2-18,"Gong-Etched Flower of Life 2- 18"""
MI-G-ET-FOL2-20,"Gong-Etched Flower of Life 2- 20"""
MI-G-ET-FOL2-22,"Gong-Etched Flower of Life 2- 22"""
MI-G-ET-FOL2-24,"Gong-Etched Flower of Life 2- 24"""
MI-G-ET-FOL2-26,"Gong-Etched Flower of Life 2- 26"""
MI-G-ET-FOL2-28,"Gong-Etched Flower of Life 2- 28"""
MI-G-ET-FOL3-14,"Gong-Etched Flower of Life 3- 14"""
MI-G-ET-FOL3-16,"Gong-Etched Flower of Life 3- 16"""
MI-G-ET-FOL3-18,"Gong-Etched Flower of Life 3- 18"""
MI-G-ET-FOL3-20,"Gong-Etched Flower of Life 3- 20"""
MI-G-ET-FOL3-22,"Gong-Etched Flower of Life 3- 22"""
MI-G-ET-FOL3-24,"Gong-Etched Flower of Life 3- 24"""
MI-G-ET-FOL3-26,"Gong-Etched Flower of Life 3- 26"""
MI-G-ET-FOL3-28,"Gong-Etched Flower of Life 3- 28"""
MI-G-ET-T-14,"Gong-Etched - Tara - 14"""
MI-G-ET-T-16,"Gong-Etched - Tara- 16"""
MI-G-ET-T-18,"Gong-Etched - Tara - 18"""
MI-G-ET-T-20,"Gong-Etched - Tara - 20"""
MI-G-ET-T-22,"Gong-Etched - Tara- 22"""
MI-G-ET-T-24,"Gong-Etched - Tara - 24"""
MI-G-ET-T-26,"Gong-Etched - Tara - 26"""
MI-G-ET-T-28,"Gong-Etched - Tara- 128"""
MI-G-ET-O-14,"Gong-Etched - Om- 14"""
MI-G-ET-O-16,"Gong-Etched - Om - 16"""
MI-G-ET-O-18,"Gong-Etched - Om - 18"""
MI-G-ET-O-20,"Gong-Etched - Om - 20"""
MI-G-ET-O-22,"Gong-Etched - Om- 22"""
MI-G-ET-O-24,"Gong-Etched - Om - 24"""
MI-G-ET-O-26,"Gong-Etched - Om- 26"""
MI-G-ET-O-28,"Gong-Etched - Om- 28"""
MI-SB-M-B-Wd-4.5,Mallet Black wide-4.5cm
MI-SB-M-R-Wd-6,Mallet Red Wide-6cm
MI-SB-M-B-Wd-6,Mallet Black wide-6cm
MI-SB-M-L-R-6,Mallet Long Red-6cm - Firm Head
MI-SB-M-L-R-7,Mallet Long Red-7cm - Firm Head
MI-SB-M-L-W-7,Mallet Long white-7cm - Firm Head
MI-SB-M-L-W-6,Mallet Long white-6cm - Firm Head
SB-M-S-SH-WT-SD,Mallets Striking Streight head White Standard
SB-M-S-SH -RD-SD,Mallets Striking Streight head Red Standard
SB-M-S-RH-WT-SD,Mallets Striking Round head White Standard
SB-M-S-RH-RD-SD,Mallets Striking Round head Red Standard
SB-M-R-RD-W-2,"Mallet Rim Red wide 2"""
SB-M-R-RD-W-2.5,"Mallet Rim Red wide 2.5"""
SB-M-R-RD-W-3,"Mallet Rim Red wide 3"""
SB-M-R-RD-W-4,"Mallet Rim Red wide 4"""
SB-M-R-WT-W-2,"Mallet-Rim-White-Wide-2"""
SB-M-R-WT-W-2.5,"Mallet-Rim-White-wide-2.5"""
SB-M-R-WT-W-3,"Mallet-Rim-White-wide-3"""
SB-M-R-WT-W-4,"Mallet-Rim-White-wide-4"""
MI-SB-C-SB-10,Silk RIng Cushions for Singing Bowl-Sky Blue-10cms
MI-SB-C-SB-12,Silk RIng Cushions for Singing Bowl-Sky Blue-12cms
MI-SB-C-SB-14,Silk RIng Cushions for Singing Bowl-Sky Blue-14cms
MI-SB-C-SB-16,Silk RIng Cushions for Singing Bowl-Sky Blue-16cms
MI-SB-C-SB-18,Silk RIng Cushions for Singing Bowl-Sky Blue-18cms
MI-SB-C-SB-22,Silk RIng Cushions for Singing Bowl-Sky Blue-22cms
MI-SB-C-P-10,Silk RIng Cushions for Singing Bowl-Purple-10cms
MI-SB-C-P-12,Silk RIng Cushions for Singing Bowl-Purple-12cms
MI-SB-C-P-14,Silk RIng Cushions for Singing Bowl-Purple-14cms
MI-SB-C-P-16,Silk RIng Cushions for Singing Bowl-Purple-16cms
MI-SB-C-P-18,Silk RIng Cushions for Singing Bowl-Purple 18cms
MI-SB-C-P-20,Silk RIng Cushions for Singing Bowl-Purple-20cms
MI-SB-C-P-22,Silk RIng Cushions for Singing Bowl-Purple 22cms
MI-XP-SR-8,Steel Rod Xylophone - 8 Keys
MI-XP-SR-16,Steel Rod Xylophone - 16 Keys
MI-BCH-AW-10,Bar Chime -10 Artwork
MI-BCH-P-22,Bar chime -22 Keys
MI-D-B-6,"Ind Damroo Brown.-6"""
MI-D-M-6,"Ind Damroo Multicolour-6"""
MI-D-R-6,"Ind Damroo Red -6"""
MI-D-B-5,"Ind Damroo Brown-5"""
MI-D-M-5,"Ind Damroo Multicolour-5"""
MI-D-R-5,"Ind Damroo Red-5"""
MI-D-B-4,"Ind Damroo Brown.-4"""
MI-D-M-4,"Ind Damroo Multicolour-4"""
MI-D-R-4,"Ind Damroo Red -4"""
Mi-D-R-3,"Ind Damroo Multicolour-3"""
Mi-D-R-2.5,"Ind Damroo Multicolour-2.5"""
MI-D-K,Damroo- Kamroo
Mi-DM-TI-4.5,Sarveda Tibetan Dumroo | Rhombus
Mi-DM-TI-8,Sarveda Tibetan Dumroo | Round
MI -G-R,Indian Ghungroo -Red
MI -G-G,Indian Ghungroo -Green
MI -G-B,Indian Ghungroo -Blue
MI-TF-W-7CS,Tuning Forks -W-7Chakra Set
MI-TF-7CS,Tuning Forks -7Chalkara Set
MI-TF-W-SS,Tuning Forks -W-Solfeggio Set
MI-TF-432,Tuning Fork -432 Hz
MI-TF-W-528,Tuning Fork -W-528 Hz
MI-TF-528,Tuning Fork -528 Hz
MI-TF-128,Tuning Fork -128 Hz
MI-TF-256,Tuning Fork -256 Hz
MI-TF-W-OM,Tuning Fork -W-OM
MI-TF-OM,Tuning Fork -OM
MI-TF-W-40,Tuning Fork -W-40Hz
MI-TF-40,Tuning Fork -40Hz
Mi-DM-Bag-St,Drum Bag Standard
MI-Gg-Ch-32,"Gong Tam Tam/ Chow 32"""
MI-Gg-Ch-30,"Gong Tam Tam/ Chow 30"""
MI-Gg-Ch-25,"Gong Tam Tam/ Chow 25"""
MI-Gg-Ch-20,"Gong Tam Tam/ Chow 20"""
MI-Gg-Ch-15,"Gong Tam Tam/ Chow 15"""
MI-HM-PM,Harmonium - Mini Portable
Mi-DJB-M-8,"Dejmbes Mahogany - 8"""
Mi-DJB-M-10,"Dejmbes Dark Brown - 10"""
Mi-DJB-M-12,"Dejmbes Dark Brown - 12"""
Mi-DJB-IV-8,"Dejmbes - Ivory -8"""
Mi-DJB-IV-10,"Dejmbes - Ivory -10"""
Mi-DJB-IV-12,"Dejmbes - Ivory -12"""
Mi-SB-HB-Th,Hanging Bowls - Three
Mi-Gg-P-D,Gong Plate D note
Mi-Gg-P-E,Gong Plate E note
Mi-Gg-P-F,Gong Plate F note
Mi-Gg-P-G,Gong Plate G note
Mi-Gg-P-A,Gong Plate A note
Mi-Gg-P-B,Gong Plate B note
Co- MI-Gg-P-Set-S,7 Gong Plates CDEFGAB + Stand
EC-2,Eye Cups-2
