sheet_name,sheet_variant,sheet_sku,db_name,db_variant,db_sku,mismatch_fields
Etched Handmade Singing Bowls,Golden Feet / 8in,MI-SB-HM-ET-GF-8,Etched Handmade Singing Bowls,8 in / Golden Feet,MI-SB-HM-ET-GF-8,variant_name
Etched Handmade Singing Bowls,Buddhas Eyes / 6in,MI-SB-HM-ET-BE-6,Etched Handmade Singing Bowls,6 in / Buddhas Eyes,MI-SB-HM-ET-BE-6,variant_name
Etched Handmade Singing Bowls,Buddhas Eyes / 7in,MI-SB-HM-ET-BE-7,Etched Handmade Singing Bowls,7 in / Buddhas Eyes,MI-SB-HM-ET-BE-7,variant_name
Etched Handmade Singing Bowls,Buddhas Eyes / 8in,MI-SB-HM-ET-BE-8,Etched Handmade Singing Bowls,8 in / Buddhas Eyes,MI-SB-HM-ET-BE-8,variant_name
Etched Handmade Singing Bowls,Buddhas Eyes /12in,MI-SB-HM-ET-BE-12,Etched Handmade Singing Bowls,12 in / Buddhas Eyes,MI-SB-HM-ET-BE-12,variant_name
Etched Handmade Singing Bowls,Buddhas Eyes /13in,MI-SB-HM-ET-BE-13,Etched Handmade Singing Bowls,13 in / Buddhas Eyes,MI-SB-HM-ET-BE-13,variant_name
Etched Handmade Singing Bowls,Chakras / 6in,MI-SB-HM-ET-C-6,Etched Handmade Singing Bowls,6 in / Chakras,MI-SB-HM-ET-C-6,variant_name
Etched Handmade Singing Bowls,Chakras / 7in,MI-SB-HM-ET-C-7,Etched Handmade Singing Bowls,7 in / Chakras,MI-SB-HM-ET-C-7,variant_name
Etched Handmade Singing Bowls,Chakras / 8in,MI-SB-HM-ET-C-8,Etched Handmade Singing Bowls,8 in / Chakras,MI-SB-HM-ET-C-8,variant_name
Etched Handmade Singing Bowls,Chakras / 9in,MI-SB-HM-ET-C-9,Etched Handmade Singing Bowls,9 in / Chakras,MI-SB-HM-ET-C-9,variant_name
Etched Handmade Singing Bowls,Chakras / 10in,MI-SB-HM-ET-C-10,Etched Handmade Singing Bowls,10 in / Chakras,MI-SB-HM-ET-C-10,variant_name
Etched Handmade Singing Bowls,Chakras / 12in,MI-SB-HM-ET-C-12,Etched Handmade Singing Bowls,12 in / Chakras,MI-SB-HM-ET-C-12,variant_name
Etched Handmade Singing Bowls,Chakras / 13in,MI-SB-HM-ET-C-13,Etched Handmade Singing Bowls,13 in / Chakras,MI-SB-HM-ET-C-13,variant_name
Etched Handmade Singing Bowls,Dorje / 8in,MI-SB-HM-ET-DJ-8,Etched Handmade Singing Bowls,8 in / Dorje,MI-SB-HM-ET-DJ-8,variant_name
Etched Handmade Singing Bowls,Flower of Life / 8in,MI-SB-HM-ET-FL-8,Etched Handmade Singing Bowls,8 in / Flower of Life,MI-SB-HM-ET-FL-8,variant_name
Etched Handmade Singing Bowls,Om / 6in,MI-SB-HM-ET-OM-6,Etched Handmade Singing Bowls,6 in / Om,MI-SB-HM-ET-OM-6,variant_name
Etched Handmade Singing Bowls,Om / 7in,MI-SB-HM-ET-OM-7,Etched Handmade Singing Bowls,7 in / Om,MI-SB-HM-ET-OM-7,variant_name
Etched Handmade Singing Bowls,Om / 8in,MI-SB-HM-ET-OM-8,Etched Handmade Singing Bowls,8 in / Om,MI-SB-HM-ET-OM-8,variant_name
Etched Handmade Singing Bowls,Om / 9in,MI-SB-HM-ET-OM-9,Etched Handmade Singing Bowls,9 in / Om,MI-SB-HM-ET-OM-9,variant_name
Etched Handmade Singing Bowls,Om / 10in,MI-SB-HM-ET-OM-10,Etched Handmade Singing Bowls,10 in / Om,MI-SB-HM-ET-OM-10,variant_name
Etched Handmade Singing Bowls,Om / 12in,MI-SB-HM-ET-OM-12,Etched Handmade Singing Bowls,12 in / Om,MI-SB-HM-ET-OM-12,variant_name
Etched Handmade Singing Bowls,Om / 13in,MI-SB-HM-ET-OM-13,Etched Handmade Singing Bowls,13 in / Om,MI-SB-HM-ET-OM-13,variant_name
Etched Handmade Singing Bowls,Tara / 8in,MI-SB-HM-ET-T-8,Etched Handmade Singing Bowls,8 in / Tara,MI-SB-HM-ET-T-8,variant_name
Etched Handmade Singing Bowls,Yin Yang / 8in,MI-SB-HM-ET-YY-8,Etched Handmade Singing Bowls,8 in / Yin Yang,MI-SB-HM-ET-YY-8,variant_name
Etched Handmade Singing Bowls,Mantra / 6in,MI-SB-HM-ET-M-6,Etched Handmade Singing Bowls,6 in / Mantra,MI-SB-HM-ET-M-6,variant_name
Etched Handmade Singing Bowls,Mantra / 7in,MI-SB-HM-ET-M-7,Etched Handmade Singing Bowls,7 in / Mantra,MI-SB-HM-ET-M-7,variant_name
Etched Handmade Singing Bowls,Mantra / 8in,MI-SB-HM-ET-M-8,Etched Handmade Singing Bowls,8 in / Mantra,MI-SB-HM-ET-M-8,variant_name
Etched Handmade Singing Bowls,Mantra / 9in,MI-SB-HM-ET-M-9,Etched Handmade Singing Bowls,9 in / Mantra,MI-SB-HM-ET-M-9,variant_name
Etched Handmade Singing Bowls,Mantra / 10in,MI-SB-HM-ET-M-10,Etched Handmade Singing Bowls,10 in / Mantra,MI-SB-HM-ET-M-10,variant_name
Etched Handmade Singing Bowls,Mantra / 12in,MI-SB-HM-ET-M-12,Etched Handmade Singing Bowls,12 in / Mantra,MI-SB-HM-ET-M-12,variant_name
Etched Handmade Singing Bowls,Mantra / 13in,MI-SB-HM-ET-M-13,Etched Handmade Singing Bowls,13 in / Mantra,MI-SB-HM-ET-M-13,variant_name
Extra Large Meridian Singing Bowls,Etched / 20in,MI-SB-ME-ET-20,Extra Large Meridian Singing Bowls,20 in / Etched,MI-SB-ME-ET-20,variant_name
Extra Large Meridian Singing Bowls,Etched / 22in,MI-SB-ME-ET-22,Extra Large Meridian Singing Bowls,22 in / Etched,MI-SB-ME-ET-22,variant_name
Extra Large Meridian Singing Bowls,Etched / 23in,MI-SB-ME-ET-23,Extra Large Meridian Singing Bowls,23 In / Etched,MI-SB-ME-ET-23,variant_name
Extra Large Meridian Singing Bowls,Etched /24in,MI-SB-ME-ET-24,Extra Large Meridian Singing Bowls,24 in / Etched,MI-SB-ME-ET-24,variant_name
Sacred Symbols Singing Bowls,Green / 4in,MI-SB-SS-G-4,Sacred Symbols Singing Bowls,Green / 4 in,MI-SB-SS-G-4,variant_name
Sacred Symbols Singing Bowls,Green / 5.5in,MI-SB-SS-G-5.5,Sacred Symbols Singing Bowls,Green / 5.5 in,MI-SB-SS-G-5.5,variant_name
Sacred Symbols Singing Bowls,Gold / 3.5 Inches,MI-SB-SS-GO-3.5,Sacred Symbols Singing Bowls,Gold / 3.5 in,MI-SB-SS-GO-3.5,variant_name
Sacred Symbols Singing Bowls,Gold / 4 Inches,MI-SB-SS-GO-4,Sacred Symbols Singing Bowls,Gold / 4 in,MI-SB-SS-GO-4,variant_name
Sacred Symbols Singing Bowls,Gold / 5.5 Inches,MI-SB-SS-GO-5.5,Sacred Symbols Singing Bowls,Gold / 5.5 in,MI-SB-SS-GO-5.5,variant_name
Handmade Singing Bowls - All Sizes,Matte / 8in,MI-SB-HM-8,Handmade Singing Bowls - All Sizes,8 in / Matte,MI-SB-HM-8,variant_name
Handmade Singing Bowls - All Sizes,Matte / 13in,MI-SB-HM-13,Handmade Singing Bowls - All Sizes,13 in / Matte,MI-SB-HM-13,variant_name
GAB Set,,MI-SB-GAB-SET3,"Singing Bowl Head Set – G, A, B",,MI-SB-GAB-SET3,product_name
Singing Bowls Silk Ring Cushion Accessories,Blue / 20cms,MI-SBC-B-20,Singing Bowls Silk Ring Cushion Accessories,Blue / 18cms,MI-SBC-B-20,variant_name
Native American Flute - Triple,Triple,MI-NF-T,Native American Style Flutes,Triple,MI-NF-T,product_name
Native American Flute - Double,Double,MI-NF-D,Native American Style Flutes,Double,MI-NF-D,product_name
Native American Flute - Single Large,Single Large,MI-NF-S-L,Native American Style Flutes,Single Large,MI-NF-S-L,product_name
Native American Flute - Single Medium,Single Medium,MI-NF-S-M,Native American Style Flutes,Single Medium,MI-NF-S-M,product_name
Native American Flute - Single Small,Single Small,MI-NF-S-S,Native American Style Flutes,Single Small,MI-NF-S-S,product_name
Ocarina - Small,Small,MI-OC-S,Clay Ocarinas,Small,MI-OC-S,product_name
Ocarina - Big,Big,MI-OC-B,Clay Ocarinas,Big,MI-OC-B,product_name
Bar Chime - 25 Rods,,MI-BC-25,25 Rods – Bar Chime,,MI-BC-25,product_name
Wind chimes,Gold-Small,MI-WC-GO-S,Wind Chimes,Gold / Small,MI-WC-GO-S,variant_name
Wind chimes,Gold-Large,MI-WC-GO-L,Wind Chimes,Gold / Large,MI-WC-GO-L,variant_name
Wind chimes,Green-Small,MI-WC-GR-S,Wind Chimes,Green / Small,MI-WC-GR-S,variant_name
Wind chimes,Green-Large,MI-WC-GR-L,Wind Chimes,Green / Large,MI-WC-GR-L,variant_name
Wind chimes,Yellow-Small,MI-WC-YE-S,Wind Chimes,Yellow / Small,MI-WC-YE-S,variant_name
Wind chimes,Yellow-Large,MI-WC-YE-L,Wind Chimes,Yellow / Large,MI-WC-YE-L,variant_name
Wind chimes,Silver-Small,MI-WC-SI-S,Wind Chimes,Silver / Small,MI-WC-SI-S,variant_name
Wind chimes,Silver-Large,MI-WC-SI-L,Wind Chimes,Silver / Large,MI-WC-SI-L,variant_name
Wind chimes,Antique Copper-Small,MI-WC-AC-S,Wind Chimes,Antique Copper / Small,MI-WC-AC-S,variant_name
Wind chimes,Antique Copper-Large,MI-WC-AC-L,Wind Chimes,Antique Copper / Large,MI-WC-AC-L,variant_name
Guiro,,MI-GRO,Wooden Guiro,,MI-GRO,product_name
Khartal*3,,MI-KL,Wooden Hand Khartal/Jingles,,MI-KL,product_name
Jingle Stick,,MI-JE-S,Sleigh Bells Wooden Jingle Stick,,MI-JE-S,product_name
