product_name,sku_count,product_status,skus
Crescent Zafu Meditation Cushion,10,DRAFT,ME-C-Z-L-GY;ME-C-Z-L-L;ME-C-Z-L-MB;ME-C-Z-L-RE;ME-C-Z-L-RP;ME-C-Z-L-S;ME-C-Z-M-L;ME-C-Z-M-MB;ME-C-Z-M-R;ME-C-Z-M-SE
Crystal Bowl Mallets,3,DRAFT,WOO-VAR-49605;WOO-VAR-49606;WOO-VAR-49607
Crystal Bowl O Rings (Support Rings),4,DRAFT,WOO-VAR-49761;WOO-VAR-49762;WOO-VAR-49763;WOO-VAR-49764
Drum Circle with Arjun & Xenkat,1,ACTIVE,EVENT-DRUM-CIRCLE-WITH-ARJUN-XENKAT
Eye Pillow,1,ACTIVE,EYE-PILLOW-V1
Handmade Lingam Singing Bowl,7,DRAFT,MI-SB-H-LM-10;MI-SB-H-LM-11;MI-SB-H-LM-12;MI-SB-H-LM-13;MI-SB-H-LM-7;MI-SB-H-LM-8;MI-SB-H-LM-9
Immersive Sound Bath Experience with yoganidra,1,ACTIVE,EVENT-IMMERSIVE-SOUND-BATH-EXPERIENCE-WITH
Introduction to the Art & Science of Sound Therapy & Nada Yoga - Online Course,1,ACTIVE,COURSE-SOUND-ALCHEMY-ONLINE
Ishana/Black-Gold Bowl,8,DRAFT,MI-SB-H-I-B-G-10;MI-SB-H-I-B-G-11;MI-SB-H-I-B-G-12;MI-SB-H-I-B-G-13;MI-SB-H-I-B-G-6;MI-SB-H-I-B-G-7;MI-SB-H-I-B-G-8;MI-SB-H-I-B-G-9
Kenari Seed Shell Shaker with Handle,1,DRAFT,MI-KS-H
Kenari Seed Shell Shakers,2,ACTIVE,MI-KS-L;MI-KS-S
Large Tuning Fork,4,DRAFT,WOO-VAR-49862;WOO-VAR-49863;WOO-VAR-49864;WOO-VAR-49865
Lotus Moderate Grip Yoga Mat,24,DRAFT,WOO-VAR-8402;WOO-VAR-8403;WOO-VAR-8404;WOO-VAR-8405;WOO-VAR-8406;WOO-VAR-8407;WOO-VAR-8408;WOO-VAR-8409;WOO-VAR-8410;WOO-VAR-8411;WOO-VAR-8412;WOO-VAR-8413;WOO-VAR-8414;WOO-VAR-8415;WOO-VAR-8416;WOO-VAR-8417;WOO-VAR-8418;WOO-VAR-8419;WOO-VAR-8420;WOO-VAR-8421;WOO-VAR-8477;WOO-VAR-8478;WOO-VAR-8479;WOO-VAR-8480
Lotus Superior Grip Yoga Mat,20,DRAFT,YO-M-L-HG-O;YO-M-L-HG-O-MC-B;YO-M-L-HG-O-MC-DG;YO-M-L-HG-O-MC-G;YO-M-L-HG-O-MC-O;YO-M-L-HG-P;YO-M-L-HG-P-MC-B;YO-M-L-HG-P-MC-DG;YO-M-L-HG-P-MC-G;YO-M-L-HG-P-MC-O;YO-M-L-HG-T;YO-M-L-HG-T-MC-B;YO-M-L-HG-T-MC-DG;YO-M-L-HG-T-MC-G;YO-M-L-HG-T-MC-O;YO-M-L-HG-Y;YO-M-L-HG-Y-MC-B;YO-M-L-HG-Y-MC-DG;YO-M-L-HG-Y-MC-G;YO-M-L-HG-Y-MC-O
Lotus Yoga Mat,8,ACTIVE,YO-M-MG-O;YO-M-MG-P;YO-M-MG-T;YO-M-MG-Y;YO-M-SP-O;YO-M-SP-S;YO-M-SP-T;YO-M-SP-Y
Mini Bamboo Slide Whistle,3,ACTIVE,MI-B-SW-D;MI-B-SW-S;MI-B-SW-S-P
Mini Bamboo and Aluminium Bar Chime,2,DRAFT,WOO-VAR-46480;WOO-VAR-46481
Mini Tongue Drum,4,ACTIVE,MI-TD-6.3-B;MI-TD-6.3-G;MI-TD-6.3-P;MI-TD-6.3-Y
Nada Yoga- Primordial Sound Meditation,1,ACTIVE,COURSE-NADA-YOGA
Native American Style Flute – Handcrafted Wooden Melody Maker,1,ACTIVE,MI-NM-F
Natural Bamboo Xylophone with 5 Keys,1,ACTIVE,MI-XP-B-5
Neem Wood Combs,5,DRAFT,CO-NWC-S-H;CO-NWC-S-P-H;NWC-H;NWC-P;NWC-S
Ocarina Instruments,2,DRAFT,WOO-VAR-48382;WOO-VAR-48383
"PURNIMAYA- Etheric Sounds, Mantras and Movement under the Full Moon's glow",1,ACTIVE,EVENT-PURNIMAYA
Plain Moderate Grip Yoga Mat,24,DRAFT,WOO-VAR-8684;WOO-VAR-8685;WOO-VAR-8686;WOO-VAR-8687;WOO-VAR-8688;WOO-VAR-8689;WOO-VAR-8690;WOO-VAR-8691;WOO-VAR-8692;WOO-VAR-8693;WOO-VAR-8694;WOO-VAR-8695;WOO-VAR-8696;WOO-VAR-8697;WOO-VAR-8698;WOO-VAR-8699;WOO-VAR-8700;WOO-VAR-8701;WOO-VAR-8702;WOO-VAR-8703;WOO-VAR-8704;WOO-VAR-8705;WOO-VAR-8706;WOO-VAR-8707
Plain Superior Grip Yoga Mat,20,DRAFT,YO-M-P-HG-O;YO-M-P-HG-O-MC-B;YO-M-P-HG-O-MC-DG;YO-M-P-HG-O-MC-G;YO-M-P-HG-O-MC-O;YO-M-P-HG-P;YO-M-P-HG-P-MC-B;YO-M-P-HG-P-MC-DG;YO-M-P-HG-P-MC-G;YO-M-P-HG-P-MC-O;YO-M-P-HG-T;YO-M-P-HG-T-MC-DG;YO-M-P-HG-T-MC-G;YO-M-P-HG-T-MC-O;YO-M-P-HG-Y;YO-M-P-HG-Y-MC-B;YO-M-P-HG-Y-MC-DG;YO-M-P-HG-Y-MC-G;YO-M-P-HG-Y-MC-O;YO-M-P-H-T-MC-B
Plain/Wind Tibetan Gong,8,ACTIVE,MI-G-P-14;MI-G-P-16;MI-G-P-18;MI-G-P-20;MI-G-P-22;MI-G-P-24;MI-G-P-26;MI-G-P-28
Planetary Sound Ships,1,ACTIVE,MI-PSS
Rectangular Yoga Bolster,6,ACTIVE,YO-BR-RE-DG;YO-BR-RE-LG;YO-BR-RE-NB;YO-BR-RE-RE;YO-BR-RE-RP;YO-BR-RE-SE
Rhythmic Foundations for Sound Practitioners,1,ACTIVE,COURSE-RHYTHMIC-FOUNDATIONS
Root & Breath – Qigong Fundamentals & Body Awakening,1,ACTIVE,COURSE-QIGONG-FUNDAMENTALS
Shamanic Breathwork with Soundbath Experience by Nandini Shastri,1,ACTIVE,EVENT-SHAMANIC-BREATHWORK
"Singing Bowl Set – G, A, B",1,DRAFT,WOO-49832
Solar Bell,1,DRAFT,WOO-49816
Sonic Exploration- Awaken the Inner Musician Within,1,ACTIVE,EVENT-SONIC-EXPLORATION
Sonic Odyssey Workshop- Across India,1,ACTIVE,COURSE-SONIC-ODYSSEY-WORKSHOP-ACROSS-INDIA
Sound Healing Course,2,ACTIVE,COURSE-SOUND-HEALING-COURSE;COURSE-SOUND-HEALING-COURSE-1
Sound Healing and Therapy Fundamentals Weekend Residential Workshop Nov 30 to Dec 1 – Bangalore,1,ACTIVE,COURSE-SOUND-THERAPY-BANGALORE
Sound Healing and Therapy Fundamentals Workshop 9-10 November – Mumbai,1,ACTIVE,COURSE-SOUND-THERAPY-MUMBAI
"Sound Healing and Therapy Fundamentals Workshop, October 19 to 20 - Delhi",1,ACTIVE,COURSE-SOUND-THERAPY-DELHI
Sound Therapy & Nada Yoga Workshop - Bangalore,1,ACTIVE,COURSE-SOUND-THERAPY-BANGALORE-3
Sound Therapy Fundamentals,2,ACTIVE,COURSE-SOUND-THERAPY-FUNDAMENTALS;COURSE-SOUND-THERAPY-FUNDAMENTALS-ONLINE
Sound Therapy Workshop – Goa,1,ACTIVE,COURSE-SOUND-THERAPY-GOA
Svaram sound ships,1,ARCHIVED,WOO-SVAR-SOUND
The Hum: Meditative Sound Bath Experience in Mysore,1,ACTIVE,EVENT-THE-HUM
Tune Sound Pipe,4,DRAFT,WOO-VAR-45978;WOO-VAR-45979;WOO-VAR-45980;WOO-VAR-45981
Tuning Swords – Sound Therapy Instrument,3,DRAFT,WOO-VAR-49839;WOO-VAR-49840;WOO-VAR-49841
Yoga Mats Superior & Moderate,24,DRAFT,WOO-VAR-46110;WOO-VAR-46111;WOO-VAR-46112;WOO-VAR-46113;WOO-VAR-46114;WOO-VAR-46115;WOO-VAR-46116;WOO-VAR-46117;WOO-VAR-46118;WOO-VAR-46119;WOO-VAR-46120;WOO-VAR-46121;WOO-VAR-46122;WOO-VAR-46123;WOO-VAR-46124;WOO-VAR-46125;WOO-VAR-46126;WOO-VAR-46127;WOO-VAR-46128;WOO-VAR-46129;WOO-VAR-46130;WOO-VAR-46131;WOO-VAR-46132;WOO-VAR-46133
Yoga Therapy Course,1,ACTIVE,COURSE-YOGA-THERAPY-COURSE
Zafu & Zabuton Meditation Cushion Combo,5,ACTIVE,CO-ME-C-Z-ZN-LG;CO-ME-C-Z-ZN-LR;CO-ME-C-Z-ZN-MB;CO-ME-ZF-ZN-C-GY;CO-ME-ZF-ZN-C-NB
